email,ip,ip_score,ip_raw_score,ip_classification,ip_type,is_bot,events,final_email_score,final_classification
paolo.russo@tech.it,185.220.101.45,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
pietro.gatti@agency.it,52.46.128.34,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
rachele.morelli@consulting.it,40.76.4.15,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,100,Bot scanner + Real user
rachele.morelli@consulting.it,93.43.178.90,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Bot scanner + Real user
riccardo.amato@finance.it,185.70.40.25,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
roberto.ricci@domain.com,13.107.42.14,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
samuel.rizzi@media.it,87.19.56.178,100,100,Genuine user,legitimate_isp,False,Email Opened,100,Real user only
sara.martini@consulting.it,172.217.14.78,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
serena.marchetti@dept.it,93.37.201.88,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
silvia.marino@office.it,151.67.88.201,100,100,Genuine user,legitimate_isp,False,Email Opened,100,Real user only
simone.barbieri@media.it,151.38.67.234,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
sofia.negri@solutions.it,79.28.89.201,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
stefano.de.luca@tech.it,52.84.124.56,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
thomas.caruso@services.it,151.52.123.167,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
tommaso.barone@partner.it,185.125.190.39,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
valentina.romano@agency.it,192.0.2.56,0,0,Bot/Scanner,unknown,True,Clicked Link | Email Opened,0,Bot/scanner only
veronica.caputo@store.it,82.51.89.234,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
